features,learning rate,reg,MRR
80.5478498230622,0.0049840535848296955,0.038091839078643205,0.0817612749451402
88.27411838532592,0.004142615944783315,0.04581697393404878,0.06621183111605364
90.25760101818415,0.0010012542305563987,0.005943419309982733,0.12342802531451742
61.956680724560954,0.002931587096858128,0.036872969331247375,0.1222313244036208
14.40150183593618,0.004861208457185009,0.04494775572899891,0.13214428758665772
71.88507528362591,0.004423209557217119,0.023829925881030604,0.10670359496480589
6.989473185832646,0.0009818778051998668,0.044643591210397265,0.16259954484336592
36.541131621823645,0.0005437642801388713,0.028633765417929207,0.06287025732970758
17.084233402129865,0.004023563260246417,0.03894265523897744,0.1253773069170986
21.27190563012311,0.0009055225778598514,0.03394543981396956,0.12289622605324635
83.43039154481248,0.0022197295837486954,0.030160856766459687,0.09766845826255574
73.09238880082954,0.0019647104936449684,0.032578255858777314,0.0994862211677047
75.20031534555949,0.004884281268268776,0.01668300322212335,0.10357236398349455
51.50209903033901,0.004977821553827462,0.015034259219048222,0.11474880247578582
10.636186553479277,0.0010768501895832886,0.008164475272212791,0.22199435644112694
38.87911732868374,0.0006785947922249593,0.04863109672525043,0.06188919792267526
93.93954114261058,0.004278435897445013,0.037001699979482126,0.07494077843477157
8.620388136077471,0.0038589139565926734,0.030449881504528032,0.16118260502248694
9.121232656003091,0.0012795444532631463,0.036663564936180275,0.1734404704962133
1.1613888081335917,0.0024155172499040548,0.026030823922959623,0.19637829427682268
1.5049447871640327,0.0031096910709303314,0.005231677352834718,0.19210936728294548
28.80645550301749,0.0017684656939888795,0.010953162425326776,0.21999705126560748
28.768842383258402,0.0016606438849758474,0.010870381430085202,0.22455206534462627
27.422025898824405,0.001422426027294731,0.019605449638636918,0.20234821221564694
43.68729898587875,0.0016309116430916065,0.009365400660650813,0.2166393683204178
50.74463548985136,0.0033912497327099225,0.009751060009357894,0.15869437845313022
26.506756397800807,0.0024884307827861664,0.02053753170039568,0.19240207897664235
57.7279129323773,0.0020564122717474068,0.01219867181666524,0.19084130342674965
35.70734666840715,0.0012076545391128974,0.006730700699687887,0.23442882018535963
35.5057643053929,0.001509768412897251,0.015606065427583936,0.20635264566087028
45.589663001059314,0.0005296997179447347,0.005104249831786102,0.07939668637115092
