item,user,damping,F1,Precision,Recall
True,False,0.775843901051799,0.056719782581436055,0.03836691410392375,0.17484234362077514
True,False,0.07814051756547347,0.05313285688592271,0.03574761399787917,0.16421588250734293
False,True,0.5655029901558862,0.05503152507353899,0.037295864262990544,0.16897755695389952
True,True,0.21560822806050273,0.05381508623916432,0.03638388123011667,0.16457026845229478
True,False,0.6940153606107238,0.056122259262822875,0.03798515376458119,0.17053486248247862
True,True,0.4836243943750672,0.053351468774109345,0.03624602332979862,0.1613798301470253
False,False,0.6267206199641054,0.05481221406918024,0.03728525980911995,0.16604742566589917
True,True,0.6328950239703584,0.05386445857582564,0.03665959703075302,0.16348549505490578
True,False,0.10595864037586122,0.05450726667070092,0.03668080593849425,0.17030484074536165
True,False,0.16139073919461822,0.05351268690750445,0.036193001060445526,0.16329258466634294
False,True,0.4656113321347547,0.05490451505764979,0.037232237539766795,0.16744548593562808
False,True,0.2186996766224042,0.05381410334542366,0.03628844114528112,0.16790324148550154
True,False,0.23473927018216845,0.054101788943488556,0.03654294803817611,0.16636900750178113
True,True,0.720682674257343,0.055229451936662434,0.03738069989395552,0.1692000598782253
False,False,0.677855388961486,0.05381362108005394,0.036511134676564194,0.16325880967478934
False,True,0.3934726115742555,0.053434627683815454,0.03622481442205737,0.1621668909771609
True,False,0.8879278709180167,0.055619372846040446,0.037762460233298024,0.1684046928743988
True,True,0.3293776481814352,0.05480552099284814,0.03710498409331927,0.16800227033528356
False,False,0.10445907563065315,0.052595894168768864,0.03564156945917297,0.15986605319753674
True,False,0.4269970742280037,0.052845357091113564,0.03574761399787914,0.1632422510423909
True,False,0.972462690127526,0.05524126894289557,0.03752916224814428,0.16853616039241995
True,False,0.8335897032281786,0.05456960561555475,0.03704135737009551,0.1657986523186742
True,False,0.7879175904692528,0.05372685425203345,0.0365111346765642,0.16456143163316908
True,False,0.9514699223580165,0.054911743746508465,0.037200424178154896,0.1678400903750598
True,False,0.7789487075645646,0.05583727536045196,0.037879109225874986,0.1694260784018954
True,False,0.5633047205853889,0.05551760129619917,0.037624602332979956,0.16838967204012545
True,False,0.8690606631398757,0.05555760357625631,0.03773064687168627,0.1683932880267007
True,False,0.7341859003219068,0.05616568728571747,0.03800636267232246,0.1725949260094327
True,False,0.9168786034946306,0.0546798684986725,0.03711558854718985,0.1684595550986474
True,False,0.7619115554711972,0.055829574101799465,0.03779427359490998,0.17225153636640445
True,False,0.5681028448419249,0.05528077603862369,0.03751855779427367,0.16748904037876314
True,False,0.820928202708477,0.05435457080446342,0.036702014846235524,0.16711057149266498
False,False,0.9844714711331458,0.05581336618403152,0.03784729586426303,0.17069016543323945
True,False,0.5496589810204284,0.05550663819442745,0.03766702014846243,0.16851851513965976
True,False,0.6402290987348923,0.055647613871784386,0.0375715800636268,0.1742967228171886
